epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,227.708,0.58197,0.41579,0.87135,0.86546,0.66728,0.82798,0.62439,0.81628,1.27695,1.07257,0.00105646,0.00105646,0.00105646
81,230.838,0.5766,0.41481,0.85401,0.75785,0.77111,0.91683,0.69989,0.88869,1.10307,1.07284,0.00105174,0.00105174,0.00105174
82,233.915,0.59084,0.42037,0.87164,0.89691,0.86262,0.95936,0.7894,0.65631,0.70487,0.93756,0.00104703,0.00104703,0.00104703
83,236.936,0.55875,0.407,0.84682,0.94875,0.96323,0.97592,0.81239,0.64835,0.54893,0.93661,0.00104231,0.00104231,0.00104231
84,239.9,0.5493,0.39875,0.84755,0.97481,0.96346,0.989,0.81378,0.64777,0.50691,0.94647,0.0010376,0.0010376,0.0010376
85,242.888,0.56233,0.40548,0.86256,0.94644,0.95864,0.97717,0.78894,0.76075,0.55366,1.03821,0.00103288,0.00103288,0.00103288
86,245.819,0.54666,0.38621,0.84749,0.79188,0.94731,0.96198,0.72288,0.90711,0.75537,1.19591,0.00102817,0.00102817,0.00102817
87,248.984,0.57743,0.44533,0.86452,0.94995,0.96148,0.98617,0.82056,0.65197,0.52914,1.00568,0.00102345,0.00102345,0.00102345
88,252.137,0.58376,0.41233,0.86315,0.95752,0.99535,0.99409,0.84001,0.69832,0.44619,1.02335,0.00101873,0.00101873,0.00101873
89,255.188,0.53064,0.38712,0.83594,0.93583,0.94793,0.99018,0.8497,0.65263,0.42711,0.96919,0.00101402,0.00101402,0.00101402
90,258.259,0.53428,0.38026,0.84868,0.94248,0.95603,0.98298,0.81321,0.68625,0.50347,1.03698,0.0010093,0.0010093,0.0010093
91,261.248,0.55821,0.40283,0.84481,0.93789,0.89286,0.9403,0.7675,0.69146,0.5717,0.99166,0.00100459,0.00100459,0.00100459
92,264.225,0.5582,0.38409,0.85409,0.9311,0.92142,0.96192,0.79977,0.68071,0.54904,0.95573,0.000999871,0.000999871,0.000999871
93,267.273,0.55974,0.3901,0.87541,0.9955,1,0.995,0.81348,0.70928,0.47342,0.93941,0.000995156,0.000995156,0.000995156
94,270.361,0.55327,0.38403,0.852,0.97697,0.99673,0.995,0.81073,0.6862,0.41774,0.97018,0.00099044,0.00099044,0.00099044
95,273.341,0.55337,0.3944,0.8632,0.98528,0.99523,0.995,0.80508,0.68811,0.45982,0.9317,0.000985724,0.000985724,0.000985724
96,276.327,0.54325,0.36325,0.83926,0.91016,0.95017,0.96368,0.74523,0.72233,0.49725,0.97736,0.000981008,0.000981008,0.000981008
