epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,634.6,0.50091,0.38919,0.8526,0.92358,0.89948,0.93883,0.81912,0.6051,0.49601,0.936,0.0006436,0.0006436,0.0006436
110,640.335,0.46215,0.35249,0.8383,0.9352,0.91674,0.92797,0.81799,0.57624,0.44203,0.91897,0.0006403,0.0006403,0.0006403
111,646.317,0.46996,0.34807,0.84457,0.89972,0.88672,0.93581,0.81489,0.58174,0.47785,0.90275,0.000637,0.000637,0.000637
112,652.184,0.46701,0.35914,0.84776,0.91535,0.88682,0.92911,0.826,0.56285,0.48874,0.91562,0.0006337,0.0006337,0.0006337
113,657.936,0.47421,0.35896,0.84389,0.92468,0.9029,0.91642,0.79736,0.58307,0.47968,0.93626,0.0006304,0.0006304,0.0006304
114,663.679,0.47761,0.35723,0.84689,0.92203,0.93651,0.9288,0.80767,0.5592,0.46075,0.93451,0.0006271,0.0006271,0.0006271
115,669.462,0.47049,0.34927,0.84702,0.8261,0.89314,0.9223,0.815,0.57918,0.60532,0.92947,0.0006238,0.0006238,0.0006238
116,675.237,0.47789,0.36745,0.84379,0.90746,0.91682,0.92784,0.81535,0.56462,0.51261,0.91177,0.0006205,0.0006205,0.0006205
117,680.988,0.47069,0.35796,0.84316,0.8951,0.90031,0.91734,0.81102,0.56163,0.49532,0.9128,0.0006172,0.0006172,0.0006172
118,686.778,0.46613,0.35278,0.84553,0.92536,0.93712,0.94263,0.84196,0.53043,0.38704,0.88595,0.0006139,0.0006139,0.0006139
119,692.512,0.4764,0.35311,0.85302,0.94679,0.93693,0.95225,0.85581,0.55699,0.39447,0.88639,0.0006106,0.0006106,0.0006106
120,698.284,0.45254,0.3393,0.84411,0.92138,0.94715,0.95594,0.84567,0.53594,0.41207,0.88886,0.0006073,0.0006073,0.0006073
121,703.993,0.44099,0.34163,0.83157,0.86395,0.93079,0.93053,0.82334,0.57615,0.52253,0.91308,0.000604,0.000604,0.000604
122,709.719,0.4505,0.33178,0.83212,0.93363,0.93724,0.94522,0.82983,0.55291,0.41632,0.88802,0.0006007,0.0006007,0.0006007
123,715.397,0.45061,0.34958,0.83915,0.92339,0.88292,0.93071,0.82816,0.53149,0.45058,0.87991,0.0005974,0.0005974,0.0005974
124,721.179,0.45873,0.3465,0.83785,0.87345,0.93979,0.93523,0.82708,0.53971,0.48872,0.88197,0.0005941,0.0005941,0.0005941
125,726.92,0.44174,0.32734,0.83956,0.92273,0.93566,0.9643,0.86165,0.5628,0.43263,0.90272,0.0005908,0.0005908,0.0005908
126,732.629,0.44805,0.33341,0.83138,0.92337,0.93667,0.94873,0.87113,0.51778,0.4615,0.87091,0.0005875,0.0005875,0.0005875
127,738.363,0.46198,0.3511,0.84294,0.87898,0.94579,0.95011,0.8554,0.52065,0.43278,0.87527,0.0005842,0.0005842,0.0005842
128,744.072,0.46003,0.33362,0.83557,0.92482,0.935,0.95627,0.85898,0.51189,0.41328,0.8705,0.0005809,0.0005809,0.0005809
129,749.782,0.44402,0.32567,0.83653,0.90737,0.92178,0.95408,0.85862,0.51683,0.41912,0.86411,0.0005776,0.0005776,0.0005776
130,755.524,0.45881,0.33193,0.83056,0.91857,0.91207,0.95871,0.86651,0.5101,0.47858,0.86807,0.0005743,0.0005743,0.0005743
131,761.248,0.44468,0.3335,0.83256,0.89942,0.94274,0.94971,0.83318,0.512,0.42893,0.86546,0.000571,0.000571,0.000571
132,767.012,0.43775,0.34325,0.84039,0.87138,0.93878,0.96454,0.85089,0.53006,0.43904,0.88437,0.0005677,0.0005677,0.0005677
